f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
1.761005406613134205e-01,9.252794542323932170e-01,7.090536370899372942e-01,8.857259353353222897e-01,7.786805220039559883e-01,7.396781153848255297e-01,2.783711552173461223e-01,8.062066480364910026e-01,1.857187839018775710e-01,4.766655274700045686e-01,1.000000000000000000e+00
6.587975805432967347e-01,7.683081610252077143e-01,4.673226516250972296e-01,1.135208666118724397e-01,3.336478231258570570e-01,6.643718843877178815e-01,7.841098786752690453e-01,2.084030674676360384e-01,5.009121908117155630e-01,9.368308707658659085e-01,1.000000000000000000e+00
6.995936962354936117e-01,6.243019642055106511e-01,9.961093558117163349e-01,3.682156236675073746e-01,9.627351397215623274e-01,9.338149884946211898e-01,1.962115413245938411e-01,4.903609765932620546e-01,6.134873194882389802e-01,9.633429858033589754e-01,1.000000000000000000e+00
7.830956884082702629e-01,6.618683822453464982e-01,9.094858191728086849e-01,2.634101953804286467e-01,4.115493839867346848e-01,2.951865470434276162e-01,6.116677036128180811e-01,9.942708091890567479e-01,8.281679288664639538e-01,3.496549794849490578e-02,1.000000000000000000e+00
2.375210770477294009e-01,2.659544838832078595e-01,9.280189188575730386e-01,7.141076432568425059e-01,7.746165237911033508e-01,8.184672522554798935e-01,9.104217027538799023e-01,5.296644650384572106e-01,8.648009826169161807e-01,8.745542365625893488e-01,1.000000000000000000e+00
4.006751752430407487e-01,2.554400696396517123e-01,8.702235051523447007e-01,6.276620789939021394e-01,6.170796395927985456e-01,1.914482302440445594e-01,1.160325619753190818e-01,8.776673940870425294e-01,4.526400457882633344e-01,1.304436348525445100e-01,1.000000000000000000e+00
7.139590578276052701e-01,8.752001092887620182e-01,5.633762120545979801e-01,8.338679002249139716e-01,8.712895826585328463e-01,7.598486310753242989e-01,7.283874844011538618e-01,9.456867399882159519e-01,8.111979499268162641e-01,8.126389082295871757e-01,1.000000000000000000e+00
6.973154131888406049e-01,2.253440904642041165e-01,9.342138827851133032e-01,8.041484945426280451e-02,3.711923778204041513e-01,4.625269059259736748e-01,1.260939739395698922e-01,8.929576349926011680e-01,6.032488844925665283e-02,1.446877536283611709e-01,0.000000000000000000e+00
8.592937384387944189e-02,4.817174602626801416e-01,2.289420934772360416e-01,3.241514589482985542e-02,3.455353184216918283e-01,2.675971221259714206e-01,7.281838203662667208e-01,3.646399176179527801e-01,5.082380476649558387e-01,9.262311838108299167e-01,0.000000000000000000e+00
8.061692592809073243e-01,3.296404535111546741e-01,2.447949586542713662e-01,2.373959765251111298e-01,5.931527806819539839e-01,3.471934140817338754e-01,2.796091153971594911e-01,4.016217565863150485e-01,2.433198246831425049e-01,2.547776240585035712e-01,0.000000000000000000e+00
2.300885950663913437e-01,7.057495117887556679e-01,8.617631631826742078e-01,2.923412979865454009e-01,6.284244808966442664e-01,8.559034355131958094e-01,9.585527111844616144e-01,7.433754770863877370e-01,3.465984896272178428e-01,4.464111934187064978e-02,1.000000000000000000e+00
5.079343937792849539e-01,8.491429744870424567e-01,1.285607725017337000e-01,8.695246172931848649e-01,4.415228848553668373e-01,5.147511209077777483e-01,3.185109263652334821e-01,7.802292301469173630e-01,2.002981068485343297e-01,8.440185294618803846e-01,1.000000000000000000e+00
8.695673137617407900e-01,4.965133135786276020e-01,4.760456172546342346e-01,8.745809482990840600e-02,2.468119723982703517e-01,4.769870106463148796e-01,3.416608036626213041e-01,3.757513274431830697e-01,1.972972619949038275e-01,3.412835039500949907e-01,0.000000000000000000e+00
9.790273525526151932e-01,3.516674222541491535e-01,7.290856911556582443e-01,4.532969245425896299e-01,3.914450011801628992e-02,2.777618854829905226e-01,7.080239216246231315e-01,7.065263638006812341e-01,2.200525339045540374e-01,3.084980108216259787e-01,1.000000000000000000e+00
4.722829458108693812e-01,5.653215438686847172e-01,3.967368231250647526e-01,9.442060832907457346e-01,2.539548691731120522e-01,6.786841431799226498e-01,2.375895817838107327e-01,4.395446427618868723e-01,4.696514169395079596e-01,1.876882113477019720e-01,1.000000000000000000e+00
3.309041907653076375e-01,6.985864273275123049e-01,4.888891281623529705e-01,4.943429353195938347e-01,5.887910670959964898e-01,9.666898498352460845e-01,1.063015374891729259e-01,2.392176105045915602e-01,4.280497393089645053e-01,5.635108101104515654e-01,1.000000000000000000e+00
3.181919445360319454e-01,6.253336740932992077e-01,9.826507419947017041e-01,7.556958417419250562e-01,8.183060872908666239e-01,8.922903383429883206e-01,3.535352302578154138e-01,9.002540550640582007e-01,8.449115492186759502e-01,7.685394444206290476e-01,1.000000000000000000e+00
4.783310926206078006e-01,7.413275821644065289e-01,1.747994513199572220e-01,5.230047691781635200e-01,8.473478888918786200e-01,9.450902868115353961e-01,2.287003935825914214e-01,1.213216354610014980e-01,8.548271429415044143e-01,5.559845391089390798e-01,0.000000000000000000e+00
8.026873806304924974e-01,2.299112567914265437e-01,9.917096671103722283e-01,8.609808724779697275e-01,1.791392142042892432e-01,2.414700102822614491e-01,8.947511265997707408e-01,3.146888454967858850e-01,7.393141110246085335e-01,3.458832789156174314e-02,1.000000000000000000e+00
4.924384545579436612e-01,3.453361361156370712e-03,8.621078435872642221e-02,8.550456785005262628e-01,8.874101165236851774e-01,7.766082341490898600e-03,2.846660079784945063e-01,5.025011201575249054e-01,8.992826175813991574e-01,7.431805839130989355e-02,0.000000000000000000e+00
3.451339324983598855e-01,9.144426558975089492e-01,2.088054333551315755e-01,9.708879182799501351e-02,7.454741689365206314e-01,3.846378841636350909e-01,9.306348293625683610e-01,7.317654532396555833e-02,2.315922687957618908e-01,5.338412140233806946e-01,0.000000000000000000e+00
8.192271069991361454e-01,6.456841831902809803e-01,5.075259709885800996e-01,3.671356269356182978e-01,3.249410683106723763e-01,5.069864500511152006e-01,1.320872607873428972e-01,6.106610896828711388e-01,4.648807762224266282e-01,5.764493053644300646e-01,1.000000000000000000e+00
6.023768154251243345e-01,2.752877918524659906e-01,2.621103473365576919e-01,7.174602923312266567e-01,8.389278388019366650e-01,9.474026518286595699e-01,4.595790852243017977e-01,5.491266414890597636e-01,9.354795168237461933e-02,8.912629545207561010e-01,0.000000000000000000e+00
8.525234650823459992e-01,5.818863599726161739e-01,3.169037688132624320e-01,1.351070446633128030e-01,3.589466678930925969e-01,1.022551914423798225e-01,5.151395387894406319e-01,6.541509475550270070e-01,3.103223567511986802e-01,1.097878703393090349e-01,0.000000000000000000e+00
2.023861739142118754e-01,2.735792560502779969e-01,8.800579030268897984e-01,6.492985037965535167e-01,8.243133223810437116e-01,1.842976186553585416e-01,7.531048489014635638e-02,5.676935671017609986e-01,8.117438129573174566e-01,2.588119975974113585e-01,1.000000000000000000e+00
8.047679825201914383e-01,4.959705887500852617e-01,4.079775371474234635e-01,5.039796981700902512e-01,3.929104837338314171e-01,6.927362023776786337e-01,2.146344904774244444e-01,2.532435201124562107e-01,6.949421391264098968e-02,1.526826089455151081e-01,1.000000000000000000e+00
6.082587190494691542e-01,1.764430213014061000e-01,6.999235047567370360e-01,5.990330490893984727e-01,4.280943505016692185e-01,8.977717806871166051e-02,6.639575347853772236e-01,9.969432493344386748e-01,7.859037798740795555e-01,1.835932837572169518e-01,1.000000000000000000e+00
3.261353079982313163e-01,6.392782550393183438e-01,2.315946561450412666e-01,4.263304626361074101e-01,9.056846700089508095e-01,2.878783022216887533e-01,4.007685238435774178e-01,8.812859255859811780e-01,2.653457247503107075e-01,7.668095836841478663e-01,0.000000000000000000e+00
7.800434039757101479e-01,9.201840133363183849e-01,8.879474937079092633e-01,2.330509854284817939e-01,4.059034813847739454e-01,6.242043018536423959e-01,1.530739006952478443e-01,1.072571266857524908e-02,6.931249160992677405e-01,7.196393999477002090e-02,1.000000000000000000e+00
2.546297560583572483e-01,2.874557492694622685e-01,2.152619941189815034e-01,4.836775056563755726e-01,1.193266608434472298e-01,3.351771762804818255e-01,7.544997836026395843e-01,4.550107702943173571e-01,6.626602660909182152e-01,8.503456873204815469e-01,0.000000000000000000e+00
6.448920575606922334e-01,9.832739114217483589e-01,5.664419047663533657e-01,9.861434279727846475e-01,6.582546053033079270e-01,4.544584293400506514e-01,7.561178677660529424e-02,3.180105564865206569e-01,6.483857833362907108e-01,8.413073939325637074e-01,1.000000000000000000e+00
9.381083373410934456e-01,6.305235728258943295e-01,6.545828975563159347e-01,3.882322136765320453e-01,6.166264784572884627e-01,9.111267208531259598e-01,7.490072786254653447e-02,9.027046801846331237e-01,5.871328081562143808e-01,8.835307056104076961e-01,1.000000000000000000e+00
1.114509012003080946e-01,4.492775988980610702e-01,3.401373078939095018e-01,5.320114002842015744e-01,7.210077492877953187e-02,8.774916456203734061e-01,2.392749084671932369e-01,9.623691159018643582e-01,2.995163494144635896e-01,7.644122054738032856e-01,0.000000000000000000e+00
5.561748465247039475e-01,5.378107069318577294e-01,5.166690770310866654e-02,5.577620037842022649e-01,3.483525312689345066e-01,9.829114297807882705e-01,8.005829962477570838e-01,1.909275887972992081e-01,7.491373926416645679e-01,9.123523212338235933e-01,0.000000000000000000e+00
2.811382083760437522e-01,3.987256083873753632e-01,5.376238968441119370e-01,8.870995049247942799e-01,9.422897836845243180e-01,7.814892170110065983e-02,3.801279273526309010e-01,8.260700508957774524e-02,7.924187581858668228e-01,7.152591706641283631e-01,1.000000000000000000e+00
5.962196205493388579e-01,4.237555598967557291e-02,9.878683285894523936e-01,3.894411970503759424e-01,2.890999129738935913e-02,4.929207103759083441e-01,9.677136450356247366e-01,3.477968905688392232e-01,6.440722326746088910e-01,8.738563867006101660e-01,1.000000000000000000e+00
9.180418819215521165e-01,2.325077687984516972e-01,2.413975494638949115e-01,7.046441913056652462e-01,2.494156942085685724e-01,1.370635108236286648e-01,6.619142688035289934e-01,5.368493628495906167e-01,5.027723968226979201e-01,4.031673964932596110e-01,1.000000000000000000e+00
3.112392036659278327e-01,5.719419025636564013e-01,1.770017412079781804e-01,2.226637671827401688e-01,3.009740922398523866e-01,6.803583114771432072e-01,3.727806049504851504e-01,8.513963072460065673e-01,9.849867549508198872e-01,4.674169397463375786e-01,0.000000000000000000e+00
2.120485430622105483e-01,3.805746294154177534e-02,9.079632943168990389e-01,4.859703436801919851e-01,2.468534269863909003e-02,9.277304494121791922e-01,1.399474740619338631e-01,4.987922242566199538e-01,8.044988426919199576e-01,6.603059943494974382e-01,0.000000000000000000e+00
4.146970121499933271e-01,3.369163506635204364e-01,9.280490436256449982e-04,7.989683446527204858e-01,3.862497223388570156e-01,5.623920190657967222e-01,8.176221708366474550e-01,6.817343702759030011e-01,1.284137619881877690e-01,8.737227698618927896e-01,0.000000000000000000e+00
5.123422380938705833e-01,8.302310481019220534e-01,6.158727577234628381e-01,2.651357785162025138e-01,1.069576017527420486e-01,5.035230832039206961e-01,2.682187878783166557e-01,5.353654079032710289e-01,7.546088111445139468e-01,5.797007054682118410e-01,1.000000000000000000e+00
4.116217511688635700e-01,3.873406949326951842e-02,8.221318398701840113e-01,6.158037275415180201e-01,5.798431292457597586e-01,5.447919958527420725e-01,8.720150607761233408e-01,2.079644719560138633e-01,4.192721177639646690e-01,4.101383870397057319e-01,0.000000000000000000e+00
1.679141172924436543e-01,6.016684191049256336e-01,7.281557158781977179e-01,8.695778332255700294e-01,9.265787169008672386e-01,2.144460322758242610e-01,6.235068458607179176e-01,7.373764145261453296e-01,5.290015204392672921e-02,3.841291545537853791e-01,1.000000000000000000e+00
5.044206464640206278e-01,5.838298167209314826e-01,6.460559136058071639e-01,3.846796157927155901e-01,9.542596434886010393e-01,7.827158400196331245e-01,7.548540387198227064e-01,5.703515470878816052e-01,2.982718684129950226e-01,6.879059026857446968e-01,1.000000000000000000e+00
8.278232348463827606e-01,8.484961539354856086e-01,9.722946839883378489e-01,7.928160809988079594e-01,8.305698841112664210e-01,3.092975598698376460e-01,6.685406758478122935e-01,8.246250114708989498e-01,9.353333744045797538e-01,5.422275547023548414e-01,1.000000000000000000e+00
7.334885185873840641e-02,2.130417784104901013e-01,2.579191421934590167e-01,1.614471826649166442e-01,8.972154862011515464e-01,1.985514935467371789e-01,9.641308976869866765e-01,2.205808469447414488e-01,3.146751068694554343e-01,4.889171424544028755e-01,0.000000000000000000e+00
8.431129125977107064e-01,1.165568610243926662e-01,6.614305864573022387e-02,8.444566443270775657e-01,3.598867678290138539e-01,3.286221386938692479e-02,5.460805079066565204e-01,9.902329067137506380e-01,7.652951119478785813e-01,4.906885194490351321e-01,0.000000000000000000e+00
4.708870692059047292e-01,5.054365269150431494e-01,4.441984003219379140e-01,5.003212381772209616e-01,6.973648207240481511e-01,3.123670911784190984e-01,9.187892152037773208e-01,8.784333560378887462e-03,9.777689047838684644e-01,6.609279016830278408e-01,0.000000000000000000e+00
3.418942321656078809e-01,7.962484461180180384e-01,4.968256120064699077e-01,9.274096205803986637e-01,9.302843133787933594e-01,3.951824951636656591e-01,9.192417883125872935e-01,6.070048788182897948e-01,5.855554039275856493e-02,8.705683001658169884e-01,1.000000000000000000e+00
8.864918398834306101e-01,8.215998465032677833e-01,3.627122552603475603e-01,3.502854510736972404e-01,1.394235019483002214e-01,4.006003407433417207e-01,9.640693168268532620e-01,2.242099871918570297e-01,2.546221823067776890e-01,8.657144599264660068e-01,1.000000000000000000e+00
6.480319164283171451e-01,5.946249137435997145e-01,2.018374637845654629e-02,3.709987713016282829e-01,1.024751077369688845e-01,5.599829976006198695e-01,9.390142292348941933e-01,3.562779605696190233e-01,2.127066746657536589e-01,2.087544605621695082e-01,0.000000000000000000e+00
6.086516680170094284e-01,5.226530263872873894e-01,5.779738284975954876e-02,9.792713854834256271e-02,4.029416211542602433e-01,1.080543293060665100e-01,5.558266591257039480e-01,9.765668601903088053e-03,4.700477698816917238e-01,5.013347299363247744e-01,0.000000000000000000e+00
8.202405685124051216e-01,2.892775684468068542e-01,1.032603054553241639e-01,8.609312516768191648e-01,9.656227802722727738e-01,4.384803008015907277e-01,7.617335221416621227e-02,4.261783181201050930e-01,8.559793450098118761e-02,9.816923505065124900e-01,1.000000000000000000e+00
5.106509108337529135e-01,6.890285456469743552e-01,4.443399540339213472e-01,4.245383991810492974e-01,2.965537987372244277e-01,8.094623804906186937e-02,3.531226256566467603e-01,2.310135041177296955e-01,9.261344161577195200e-01,9.307662339167366294e-02,1.000000000000000000e+00
2.345489946722654206e-01,5.584742645187023014e-01,7.853182363493540485e-01,2.712006700276355931e-01,6.802597675449577608e-01,7.420658606837030602e-01,8.254201873382196464e-01,1.748581113747340599e-01,1.250504095762328127e-02,5.775703564352649977e-01,0.000000000000000000e+00
9.242104787477350980e-01,7.001389150346591927e-01,6.902203971035003605e-01,3.964352636293360099e-01,1.006435065668424000e-01,8.237407031529859758e-01,6.624220681242773967e-01,7.412830647843005050e-02,5.535528524986175203e-01,9.140331770871980011e-01,1.000000000000000000e+00
6.893902442631438809e-03,5.046532998548174387e-01,2.011248207738335347e-01,7.828068746161711555e-01,1.743952513347192257e-01,4.894019404447831345e-01,9.848128597892482627e-01,7.143910540752191896e-01,5.978119681692967147e-01,5.874317634786340170e-01,0.000000000000000000e+00
4.417360666643431744e-01,9.753483750369690286e-01,5.443468147950192293e-01,3.565376298533284860e-02,6.898093813604675439e-01,1.028429594909715528e-01,3.934612321691424164e-01,1.688400710531812177e-01,9.289085152773651766e-01,7.855429027097339256e-01,0.000000000000000000e+00
7.291424280130360813e-01,7.717385910138298000e-01,1.763350433612428381e-01,5.861185116158720287e-01,4.379464130990965431e-01,8.779923723910232347e-03,6.458146702665116257e-01,4.417632397393506105e-01,8.172930491519554419e-01,8.037505138697890184e-01,1.000000000000000000e+00
9.392977510989468648e-01,4.609884767659000460e-02,3.121945094458985492e-01,9.551721616401642745e-02,4.152371616448408131e-01,2.995114961656732966e-01,3.375558171851504863e-01,6.759693721118237297e-01,1.559525310619008787e-01,2.326114762456998886e-02,0.000000000000000000e+00
7.552137706033456022e-01,4.646094456227138902e-01,1.383649733027947359e-01,8.324942325750785965e-01,5.535359491468396786e-01,9.644665461671148021e-01,8.929894100270334700e-01,1.633584975835478126e-02,9.573200426092948190e-01,2.046511315878820625e-01,1.000000000000000000e+00
3.756846425786343202e-01,8.652518819347776446e-02,6.361890565293263355e-01,4.966509509966399172e-01,1.658385792457495178e-01,3.745721336120012568e-01,8.184098819626051124e-01,1.508176316755124313e-01,4.150883466889899731e-01,6.661355522488915382e-01,0.000000000000000000e+00
1.441581283913718758e-01,5.290738573490918473e-01,6.492663496223731734e-01,4.555611395407297426e-01,4.197199829978265351e-01,7.211754735837400121e-01,1.352933874385736646e-01,2.702501792188287677e-01,6.635773109300547867e-01,6.647013761650698571e-01,0.000000000000000000e+00
6.433892212918165265e-01,4.048815679386890132e-01,8.328985580895932328e-01,1.061839827394696067e-01,3.058000251806740621e-01,6.241083634427920801e-01,4.678887738787590456e-01,6.782394568559838577e-01,5.044937608711806964e-01,3.953909491763020201e-01,0.000000000000000000e+00
7.106771019209187079e-01,5.150245210900350479e-01,8.203031016588728797e-01,4.936667509496630579e-01,6.169295958923795009e-01,1.715451565796501932e-01,7.573728051586268162e-01,5.032118776693415008e-01,4.954423548383497522e-01,2.347670123585354762e-01,1.000000000000000000e+00
6.208255520314057696e-01,9.953984702851853550e-01,7.461227590310222091e-01,6.992168393961495365e-02,4.562229499852716863e-01,4.096387193567094798e-01,6.085909736954784321e-01,5.150178898414489170e-01,6.157959970071184008e-01,1.869358974667353346e-01,1.000000000000000000e+00
6.479798107991635581e-01,7.505938058833266924e-01,9.121210886797092021e-01,7.258304076332269261e-01,5.085370995105847891e-01,9.025885757464718884e-01,9.222364384485489675e-01,8.936293762239522209e-01,1.294349279640494288e-01,8.828859405450381059e-01,1.000000000000000000e+00
8.308820526504867576e-02,3.650612038842485640e-01,3.647536134576020439e-01,8.119828145017236043e-01,1.848123231272003064e-01,6.868241031543937947e-01,4.231995495038554100e-01,4.163792037792997114e-01,1.710596999399099927e-01,2.131257643680152247e-01,0.000000000000000000e+00
1.081375876285783910e-01,8.083113042294313155e-01,5.928767631171852903e-01,4.442435095063257400e-02,9.448221584072363788e-01,3.740356936667299514e-02,6.841774007899495968e-01,5.583798038431364574e-02,3.640967806279534758e-01,9.457665479235224382e-01,0.000000000000000000e+00
6.964208762472030578e-01,5.302163998047478843e-01,2.625273800959566639e-01,2.899517506906261755e-01,2.679100081175246340e-01,5.913890854590875268e-02,6.553367426391076833e-02,7.660402614171750724e-01,5.405819065521572098e-01,3.514419097769793110e-01,0.000000000000000000e+00
5.177762099831914044e-01,6.310665767731955533e-01,6.276723734811850974e-02,8.455899589412714246e-01,5.336140004743324949e-01,8.239515279310642981e-01,2.300857510600262668e-02,2.793037795114150512e-02,5.864590217020944074e-01,8.714761748766184368e-01,1.000000000000000000e+00
2.872697792074014878e-01,7.166813022031613967e-01,6.468518510182149628e-01,6.088749913714652795e-02,6.002495883763815376e-01,6.075051630807801750e-01,9.397299803072568514e-01,6.570011766314876045e-02,6.035188726534870263e-01,3.122625376878744863e-01,0.000000000000000000e+00
3.676526203116688984e-01,3.239635005954103475e-01,3.705810814989596302e-01,6.982176741868381109e-01,5.614759257345683929e-01,9.517554007410621297e-01,1.136242579827888566e-01,1.080514066741514734e-01,5.219242894557352130e-02,3.667794482793607092e-02,0.000000000000000000e+00
7.752425401950376882e-01,8.030907266256395172e-01,5.502114060863205758e-03,2.229406487199234732e-01,4.372791295752352925e-01,3.965591511409285452e-01,7.851613668953778546e-01,3.526170254289374695e-01,1.989676169644807313e-01,1.617693289679326130e-01,0.000000000000000000e+00
4.725803163251223182e-01,4.121406421353526195e-01,5.411400024031093325e-01,4.382590918775173261e-01,6.778182956981185781e-01,1.006241906599918412e-01,2.092841307941417650e-01,8.573241215056368603e-01,2.942915887419546017e-01,2.838141428928439014e-01,0.000000000000000000e+00
9.282068107901444431e-01,5.575609134029886338e-01,1.330143634750714510e-01,4.150450824812086381e-01,7.588930659134781598e-01,6.110281734276939991e-01,9.660820952238999837e-01,4.189781093533526679e-01,8.273058518095155467e-02,7.561400892077915215e-01,1.000000000000000000e+00
7.091540895821980550e-01,7.371762870978439963e-01,7.862148699052426970e-01,8.742821713863759836e-01,3.777402638515954258e-01,3.810060242319679435e-02,2.971422016552297540e-01,3.333158807526870326e-01,4.041226760055891543e-01,9.787819940313262634e-01,1.000000000000000000e+00
3.231370166339944117e-01,5.264139508268429468e-01,2.858231506178829928e-01,5.559870906202531993e-01,9.503267574497713532e-01,8.302321742428787621e-01,8.534121481352728855e-01,1.894988191697146718e-01,8.404718740374862440e-01,6.681707706092047117e-01,0.000000000000000000e+00
8.770292387177018867e-01,4.034710795724048005e-01,3.229263545586866790e-01,6.023972828772944377e-01,7.158327809126209251e-01,4.728185618949833913e-01,4.823900701934558111e-02,9.114317690652709025e-01,9.464338322579057827e-02,5.581514880140474588e-01,1.000000000000000000e+00
5.844882896116476712e-01,9.351278949823479403e-01,6.685262810689293067e-01,2.102111609817188809e-01,4.467631396069930982e-01,1.181589217182060780e-01,4.453725805990008668e-01,4.713009902573581655e-01,9.042838697004439430e-01,4.981305708503698249e-01,1.000000000000000000e+00
3.206700551303633961e-01,2.606163178027889327e-01,6.349800991455610832e-01,3.350545585448450048e-03,6.311137367900685469e-01,1.195785988473179184e-01,3.474958163263996980e-01,9.314592704250236332e-01,5.236140382305389807e-01,2.140625103124856876e-01,0.000000000000000000e+00
7.278489090248496662e-01,1.266287483549594084e-01,6.749945218355482002e-01,6.416683055469634134e-01,8.187575383088787628e-01,4.496168626653528344e-01,2.077885663705069108e-01,4.424661431716510052e-01,6.857739923298058482e-01,2.780310891478610102e-02,1.000000000000000000e+00
3.980049597042126797e-01,1.208534113804219379e-01,1.898259689962640273e-01,3.466777958207278854e-02,8.420318727948139514e-02,2.886091939659614081e-01,4.549577506076907252e-01,2.747755103908511298e-02,5.417781220690424115e-01,4.921936540056761622e-01,0.000000000000000000e+00
9.284168309946466691e-01,6.870523976003585220e-01,7.479386163993870795e-01,5.722133054660814011e-01,2.891384654365720674e-01,3.541535350173199426e-01,2.715374694714177695e-01,2.346244380805613261e-01,3.296109206007706849e-01,2.396639795259947192e-02,1.000000000000000000e+00
9.675902705133117010e-01,7.577223199194310643e-01,1.597204287879292472e-01,1.181019442084582094e-01,4.627945857101023464e-01,2.393113610987057660e-01,8.051001513613769145e-01,5.254798538604228408e-01,8.730219138323571659e-01,1.611217572386579588e-01,1.000000000000000000e+00
3.793119696085204273e-01,3.641660043336061303e-01,3.187662745316034441e-01,3.065222786153691814e-01,4.384830961766734703e-01,9.970708785480433267e-01,2.398891016643323049e-02,6.646234573945540847e-01,1.126831355868523898e-01,4.199518529537776823e-01,0.000000000000000000e+00
3.869113154626725448e-01,1.252504925417113890e-01,5.968670329868471791e-01,2.984299901721623183e-01,1.065128513915540864e-01,7.132236855366488326e-01,3.602846472524217081e-01,7.695567201260408163e-01,7.206479161689700597e-01,2.148322483208087164e-02,0.000000000000000000e+00
